,head,relation,tail
16907,it is still going up,__label__Support,It has begun to decline
16908,"I'll tell you the kind of campaign reform I'm supporting, Senator Bentsen",__label__Support,That's the kind of campaign reform that Republicans are for
16909,"first, he was going to dig a racetrack and have it going around in the racetrack so it would meet the requirements of SALT II treaty",__label__Support,"now he's decided it'll have a straight up and down thing, so it can he both verifiable and yet hideable from the Soviet Union"
16910,I think a lot of times we just spend aid and say we feel better about it and it ends up being spent the wrong way,__label__Support,I don't think we ought to just have foreign aid for the sake of foreign aid
16911,"if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people,",__label__Support,it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country
16912,"with each one of those decisions that affect the future of my country, I have learned in the process",__label__Support,I think I'm a much wiser and more experienced man than I was when I debated four years ago against President Ford
16913,You can look at the record,__label__Support,There's no question in my mind that if the president were to be reelected you'll continue to see a middle-class squeeze with incomes going down and prices going up
16914,"you point out, well, we're putting some back. We're going to give a better prescription program",__label__Support,That's $1 -- that's $1 for every $15 you've cut
16915,I don't believe that it's very much different from Mr. Benson's.,__label__Support,I therefore do not believe that this is a sharp enough breach with the past to give us any hope of success for the future.
16916,There's a lot of shut-in gas that we need to be moving out of Alaska by pipeline,__label__Support,the difference is we need to explore at home
16917,it comes at the people,__label__Support,The people need to take their government back
16918,But the end result was it worked,__label__Support,I think the American public has the stomach for success
16919,"He's talking about the places I grew up in, my neighbors in Scranton and Claymont",__label__Support,you probably detected my frustration with their attitude about the American people
16920,it's going to take all the nations together,__label__Support,"In dealing with terrorists, yes, we want to retaliate"
16921,"I believe college tuition up to $10,000 per year ought to be tax deductible so middle-class families can choose to send their children to college",__label__Support,Every middle class family is eligible for a tax cut under my proposal
16922,a $60 billion defense cut is going to cut a lot of jobs out,__label__Attack,"for those who are affected by the cutbacks, whether they come from George Bush or Bill Clinton and me -- the difference is, Bill Clinton and I have a defense conversion program so that those who won the Cold War will not be left out in the cold"
16923,we let the Europeans spend $25-$40 billion on Airbus without an appropriate competitive response,__label__Support,the real thing we got to have is a competitive economic strategy
16924,"I'm a Catholic, raised a Catholic",__label__Support,I was an altar boy
16925,let's not cut into the muscle,__label__Support,"let's not cut down our insurance policy, which is participation of American forces in NATO, the greatest peace- keeping organization ever made"
16926,I don't say the Democrats are united in their support of the program.,__label__Attack,I do say a majority are.
16927,we have two billion dollars more for the Export-Import Bank,__label__Support,We have moved in Latin America very effectively
16928,"You look at Haiti, where we spend about three billion dollars and we got an alarm call there about two weeks ago",__label__Support,"You got to send down some more people, because the president's found out there are death squads on his on his, in his own property"
16929,I think that's shocking,__label__Support,it's shameful
16930,The intelligence-gathering and the law-enforcement arms of the FBI just couldn't share intelligence under the old law,__label__Support,parts of the FBI couldn't talk to each other
16931,that money would not go into the general fund to reduce a deficit,__label__Support,Social Security has nothing to do with the deficit
16932,"This is a very, very difficult and fundamental decision that all of us have to make",__label__Support,"what he is saying, if I understand him correctly"
16933,The Arab countries have a stake in not having a civil war,__label__Support,They do have stakes in it
16934,This is an essential that we get it right,__label__Support,the plan he talks about simply won't work
16935,"from the very beginning, the president in his campaign four years ago, said he would meet with all the world's worst actors in his first year, he'd sit down with Chavez and Kim Jong-il, with Castro and President Ahmadinejad of Iran",__label__Support,"I think they looked and thought, well, that's an unusual honor to receive from the President of the United States"
16936,if we're asking for no revenue,__label__Support,we've got to get rid of a whole bunch of stuff
16937,we're going to pay for it,__label__Attack,He says he wants to give the wealthiest one percent of the people in this country a five-year $40 billion tax break
16938,That's what we need more of,__label__Attack,What we have right now in Washington is a place that's gridlocked
16939,the Republican leadership of the House and Senate won't even let us have a vote on it,__label__Support,this is one of those issues that separates the president and myself
16940,They're happy to let us continue to do the job,__label__Support,"The only way they step up is to say, ""Fellas, we're leaving; we've trained you; step up, step up."""
16941,this is about jobs,__label__Support,This is about getting jobs for the American people
16942,I don't think it's a minor matter,__label__Support,I think this is one of the most important challenges that our country has to face in the future
16943,"You pick your own doctor, and nobody can take that away from you",__label__Support,The doctor chooses the prescription that you need
16944,We've been dealing with him,__label__Attack,he's been dealing drugs to our kids
16945,I think the choice is clear and it involves the future,__label__Support,"I believe this Administration has not met its responsibilities in the last eight years, that our power relative to that of the Communists is declining, that we're facing a very hazardous time in the sixties"
16946,I wanted the American people to know I was willing to give up something,__label__Support,I put my career on the line
16947,It won't work.,__label__Support,Does every woman in America have to present herself before some judge picked by Jerry Falwell to clear her personal judgment?
16948,That's a good economy,__label__Support,I don't think so
16949,there are differences between Governor Romney and George Bush,__label__Support,there are some things where Governor Romney is different from George Bush
16950,"If I don't like them, I can get rid of them and find a different insurance company",__label__Support,I'd rather be able to have an insurance company
16951,what more expensive care options might be,__label__Support,I believe that doctors should not be able to be kicked out of managed care plans just because they tell the patients what they need
16952,$716 billion we were able to save from the Medicare program by no longer overpaying insurance companies by making sure that we weren't overpaying providers,__label__Support,"in Medicare, what we did was we said, we are going to have to bring down the costs if we're going to deal with our long-term deficits, but to do that, let's look where some of the money's going"
16953,The Surgeon General is doing a good job in encouraging the proper kind of education,__label__Support,we're on the right track
16954,"I know it will require a different kind of leader to go to Washington to say to both Republicans and Democrats, let's come together",__label__Attack,"You've had your chance, Vice President"
16955,It sounds like the vice presidentâ€™s not right very many times tonight,__label__Attack,"when the phrase a strict constructionist is used and when the names of Scalia and Thomas are used as the benchmarks for who would be appointed, those are code words, and nobody should mistake this, for saying the governor would appoint people who would overturn Roe v. Wade"
16956,"They have a variety of choices to choose, so should seniors",__label__Support,we're going to give you additional choices like they give federal employees in the federal employee health plan
16957,"I still remember a woman that I met ten years ago who said she wanted to get off welfare so her kids could tell, give an answer when they say, ""What does your mother do for a job?"" I met that woman again",__label__Support,"I want to make more people like that woman, Lily Harden, so I've got a plan to do it, and it's just beginning"
16958,your plan is to take the tax rate on successful small businesses from 35 percent to 40 percent,__label__Attack,It added up to well over 50 percent of what they earned
16959,It's naive and dangerous to say that,__label__Attack,"He keeps talking about, ""Let the inspectors do their job."""
16960,I think we have far too many abortions in this country,__label__Support,My objective and the president's objective is to try to reduce abortions in this country
16961,it is absolutely true that we cannot just meet these challenges militarily,__label__Support,That will help us maintain the kind of American leadership that we need
16962,the only way that American troops could have stayed in Iraq is to get an agreement from the then-Iraqi government that would have protected our troops,__label__Attack,"they wouldn't have even been formed if they left some troops behind, like 10,000 or maybe something more than that"
16963,if we go forward with the kinds of policies that the Vice President is suggesting tonight and has in the past,__label__Support,that debt is going to grow bigger and bigger and bigger
16964,We had an $800 billion deficit.,__label__Support,It’s hard to believe
16965,We gave more scholarships to the Congo - this summer we offered them - than we've given to all of Africa the year before,__label__Support,We've been uh - having a very clear decision in the last eight years
16966,stopped the production line for the Minuteman missile,__label__Support,"I and my predecessors - both Democrats and Republicans - have advocated resolving those troubles in those difficult areas of the world peacefully, diplomatically, and through negotiation"
16967,"Now there are some 10,000 centrifuges spinning uranium, preparing to create a nuclear threat to the United States and to the world",__label__Support,"All of these things suggested, I think, to the Iranian mullahs that, hey, you know, we can keep on pushing along here, we can keep talks going on, we're just going to keep on spinning centrifuges"
16968,"When you are proud and confident of your strength, you do not get down to the level of Mr. Khrushchev and his colleagues",__label__Support,"Firmness but no belligerence, and by no belligerence I mean that we do not answer insult by insult"
16969,I will find the best people in the world -- in the United States of America who have a history of strict adherence to the Constitution,__label__Support,that's what I will do
16970,The chemical weapon treaty to ban all chemical weapons,__label__Support,we have made proposals and proposals and proposals - sound proposals - on reducing nuclear weapons
16971,The future will be the greatest time in this country's history if we can beat this division that is bedeviling the whole rest of the world,__label__Support,"We need to be disagreeing on ideas, honestly, and talking about the future"
16972,"It's about Kipp Academy in Houston, Texas",__label__Support,A charter school run by some people from Teach For America
16973,I will never let those troops down,__label__Support,my plan has a better chance of standing up and fighting for those troops
16974,which was a legitimate request and a proper response by me,__label__Support,I think the matter is settled once and for all
16975,"There's a thing called the Monroe Doctrine, something that the Governor of Massachusetts has said has been superseded",__label__Support,I think they believe in the Monroe Doctrine
16976,that is democracy and tolerance and freedom and equal rights,__label__Support,"that's a good team, it's a good ticket"
16977,"we took 22,000 people out",__label__Support,We're sending fewer people out in all of these hotspots to do the same job that they were supposed to do a month ago
16978,I've made some mistakes,__label__Support,I regret the things in my own long campaign that have been mistaken
16979,That's what leadership is all about.,__label__Support,"I've been in Washington, D.C., three and a half years and led the Congress to reform Medicare so our seniors have got a modern health care system"
16980,I've got it right,__label__Attack,you've got it wrong
16981,I'm told by some experts,__label__Support,the things that he fears most might not be all that dangerous
16982,He said that he would launch military strikes into Pakistan,__label__Support,"I'm not prepared to threaten it, as Senator Obama apparently wants to do"
16983,"which guarantees a constitutional right to a woman to make the most intimate, most difficult, in many cases, decisions about her health care that one can imagine",__label__Support,I strongly support Roe v
16984,he promised America that he was going to build this coalition,__label__Support,It is not the kind of coalition we were described when we were talking about voting for this
16985,"we’re going to make sure that nobody, no corporation, and no individual can get away without paying his fair share to support our country",__label__Attack,"we need to reverse that.People like Donald, who paid zero in taxes, zero for our vets, zero for our military, zero for health and education, that is wrong."
16986,And the WIC program,__label__Support,I've reached out to people all my life
16987,"We are for more tax cuts for the middle class than they're for, have been for the last four years",__label__Attack,the president and I will go forward to make the tax cuts permanent
16988,"I'm absolutely, adamently opposed to that",__label__Attack,it will be the first bill I send to the Congress
16989,You see that every night on television,__label__Support,There's chaos in Iraq
16990,Premiums have gotten too high,__label__Support,I agree with you
16991,"I've submitted, what, 4 different budgets to the US Congress in great detail",__label__Support,a plan that I believe really will help stimulate the growth of this economy
16992,To think that Sam Nunn of Georgia or Colin Powell helped put together the coalition in the Persian Gulf were not even consulted,__label__Support,"the problem with the foreign policy of this administration, there is none"
16993,we have—we have a president that can't sit them around a table and get them to approve something,__label__Support,they can't get together
16994,"I don't believe it is fair to slap a 50-cent-a-gallon tax over whatever many years on the people that have to drive for a living, people that go long distances",__label__Support,I just disagree with Mr. Perot
16995,both you and President Bush are Republicans,__label__Support,I fear a return to the policies of those years should you win this election
16996,"economy with 50 percent of kids graduating from college that can't finds a job, or a college level job, that's not what we have to have",__label__Support,I know what a working economy looks like
16997,I think it helped a little bit,__label__Support,he's entitled to credit for that
16998,"In the meantime, folks out there with insurance, you're already getting a rebate",__label__Support,we're already beginning to see progress
16999,"That's why we're focusing on tax credits, to hire 1 million more people coming off welfare in the inner city",__label__Support,I think that economics is one of the single most important parts of this problem
17000,I believe there needs to be instant disclosure on the Internet as to who has given to who,__label__Support,I would support an effort to ban corporate soft money and labor union soft money so long as there was dues check-off
17001,We balanced the budget.,__label__Attack,it's the president's fiscal policies that have driven up the biggest deficits in American history
17002,I thought that was wrong,__label__Support,I had thought we ought to do what we could to cut frivolous lawsuits
17003,I'm just as sick as you are by having to wake up and figure out how to defend myself every day,__label__Support,I don't want the implication to be that somehow everything we say is just cooked up and put in our head by somebody else
17004,I'm not going to go to calling names on his facts,__label__Attack,He would rather spend the family's $1800 and I would rather the Strunks spend their own money
17005,"Not only did I agree to file my tax returns, after a little bit of prodding my husband also agreed to file his with the - not only the ethics committee but the FEC.",__label__Attack,Bur the action that you're speaking about with the ethics committee was started by a right-wing legal organization - foundation - knowing that I would have to - that there would be an automatic inquiry
17006,when we know that something has to be done that is in the national interest,__label__Support,that is a part of being president
17007,That's what the election was about,__label__Support,"If people would say, well, he got elected to do this and then the Congress says, okay, I'm going to do it"
17008,"Who's he gonna listen to -- us or the folks running up and down the aisles with money, the lobbyists, the PAC money",__label__Support,None of them ever get implemented
17009,We have demanded that the American people sacrifice,__label__Support,"that we must share in scarcity, we must sacrifice and get used to doing with less"
17010,So I consider that a compliment,__label__Support,but it is a great—I’m very proud of my children
17011,"In Decaturville, Tennessee, not very far from my home, a factory was shut down right there when they were solicited by officials paid with US taxpayers' money",__label__Support,you have used our tax dollars to subsidize the recruitment of US companies to move overseas and throw Americans out of work
17012,"to make sure that even as we're producing more coal, we're producing it cleaner and smarter",__label__Support,we made the largest investment in clean coal technology
17013,He's for letting the oil companies into the Arctic National Wildlife Refuge,__label__Support,we disagree on this
17014,"we're spending very significant amounts of money now, some $200 billion a year, almost 50 percent of our total federal expenditure uh - by the federal government at the present time for human needs",__label__Support,we will probably need to increase that to same extent
17015,"Finally had to come back to school, the chicken lost its feathers",__label__Support,that's your tax money being wasted
17016,There is no way of anticipating what may happen,__label__Support,I don't think either one of us can really
17017,"a bipartisan commission to take it out of politics, will make recommendations and build support for the people",__label__Support,It's obvious that there are certain things that have to be done
17018,What you just heard Governor Romney said is he doesn't have different ideas,__label__Support,we're doing exactly what we should be doing to try to promote a moderate Syrian leadership and a -- an effective transition so that we get Assad out
17019,I'm going to keep my word to the American people,__label__Support,"If I have anything in politics, it's my word"
17020,The whole world is having economic difficulties,__label__Support,The US is doing better than a lot
17021,I believe that the free Iraq is in this nation's interests,__label__Support,we'll continue to spread freedom
17022,Or would you wait on approval from the U.N,__label__Support,we obviously would not wait for the United Nations Security Council
17023,We're the best producers in the world,__label__Support,I would like our farmers feeding the world
17024,"this liberal charge, that's what their party always drags out when they get in a tight race",__label__Attack,this is a very liberal administration
17025,That's how we get growth and how we balance the budget,__label__Support,I want to go down the path of growth that puts Americans to work with more money coming in because they're working
17026,If I knew of three new weapons systems that I thought were purely waste and weren't protected by the Congress,__label__Support,they wouldn't be in the budget
17027,"Got rid of a despot who had killed Americans and as a consequence, despite this tragedy, you had tens of thousands of Libyans after the events in Benghazi marching and saying America is our friend",__label__Support,I think it's important to step back and think about what happened in Libya
17028,I have no idea,__label__Support,Of course I condemn
17029,I'll put that label on it,__label__Attack,"Liberal, conservative, you put whatever label you want on it"
17030,That was the right decision,__label__Support,the right thing to do
17031,That's part of what I'm fighting for as president of the United States,__label__Support,I want to make sure that they have the same opportunities that anybody's sons have
17032,"You’re the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb",__label__Support,you really owe him an apology
17033,We've created a mess,__label__Support,we have got to fix it
17034,they have been able to establish a democratic government,__label__Support,We've made significant progress in Iraq
17035,It's up to the people in this region to take control of their country,__label__Support,There is a difference with what the president did in Kosovo which I supported and this
17036,It’s just going to be talk,__label__Support,"if she’s president of the United States, nothing’s going to happen"
17037,I believe that the Federal government should give people the tools and try to establish the conditions in which they can make the most of their own lives,__label__Support,I believed they were the right areas for America to be acting together as one country to help individuals and families make the most of their own lives and raise their kids with good values and a good future
17038,I respect the belief about life and when it begins,__label__Attack,"I can't take what is an article of faith for me and legislate it for someone who doesn't share that article of faith, whether they be agnostic, atheist, Jew, Protestant, whatever"
17039,I haven't heard anything yet,__label__Support,"But so far, it is the same as George Bush's"
17040,"taking advantage of the oil and coal we have here, drilling offshore in Alaska, drilling offshore in Virginia where the people want it",__label__Support,Those things will get us the energy we need
17041,no tax cut that adds to the deficit.,__label__Support,there will be no tax cut that adds to the deficit
17042,"we have gone to all four corners of the Earth and shed American blood in defense, usually, of somebody else's freedom and our own",__label__Support,America is the greatest force for good in the history of the world
17043,I believe on the record that this administration has been more responsive and we have carried out the law to the letter,__label__Support,I'm proud of the record
17044,"I believe that it's in our interest and in the interest of Israel and Iran, and Saudi Arabia, for the United States to sell arms to those countries",__label__Support,It's for their security as well as ours
17045,they're going to give you is four more years of the same,__label__Support,But that light is flickering today
17046,The vice-president indicates that the President signed the Voting Rights Act.,__label__Support,he did sign it
17047,"With reference to tuition tax credits, I have represented a district in Queens which is 70 percent Catholic.",__label__Support,I represented my district
17048,"Allowing the new bill that was passed in the Congress made sense to allow for, you know, drugs that were sold overseas to come back and other countries to come back into the United States",__label__Support,"Expediting drugs through the FDA makes sense, of course"
17049,In our first debate he proposed America pass a global test,__label__Support,"In order to defend ourselves, we'd have to get international approval"
17050,We need to do a lot more about generating the capacity for power here at home,__label__Support,we ought to be able to shift the trend and begin to move it in the right direction
17051,if we spread freedom and liberty around the world,__label__Support,"Yes, we can be safe and secure"
17052,"Donald, she has a name",__label__Support,one of the worst things he said was about a woman in a beauty contest
17053,our growth in national product last year was the lowest of any industrial nation in the world.,__label__Support,I think we disagree on the implication of his remarks tonight and on the statements that he has made on many occasions during his campaign to the effect that the United States has been standing still
17054,Why didn’t you change it when you were a senator?,__label__Support,why didn’t she change it?
17055,itâ€™s what are you going to do about it?,__label__Attack,"you keep talking about trickle-down economics and all this stuff, about the worst economy since Hoover."
17056,That's not how you bring people together,__label__Attack,He called them coerced and the bribed
17057,This is a peaceful nation,__label__Support,I intend to keep the peace
17058,"This attitude is extremely dangerous and belligerent in its tone, although it's said with a quiet voice",__label__Support,"If President Brezhnev said, we will scrap this treaty, negotiated under three American Presidents over a seven-year period of time, we insist upon nuclear superiority as a basis for future negotiations, and we believe that the launching of a nuclear arms race is a good basis for future negotiations, it's obvious that I, as President, and all Americans, would reject such a proposition"
17059,"if they put their currency down low, that means their prices on their goods are low",__label__Support,they don't play by the rules is artificially holding down the value of their currency
17060,the money went to Fisher House,__label__Support,"the money that you're talking about went to Fisher House, where they build houses for veterans and disabled vets"
17061,I think that afterschool money ought to be available for faith-based programs and charitable programs that exist,__label__Support,That will help reinforce the values that parents teach at home as well
17062,work with that government to achieve a pluralistic society,__label__Support,I think we have to work with them to achieve a peaceful solution to bring about a pluralistic country
17063,"I have helped to balance the budget for the first time in 30 years, paid down the debt",__label__Support,Now under my plan we'll balance the budget every year
17064,we've seen over the last several years is Iran's influence grow,__label__Support,our policy over the last eight years has not worked
17065,they are still sending out videotapes,__label__Support,we took our eye off the folks who perpetrated 9/11
17066,it's growing much more slowly now than when you made that statement,__label__Support,the economy is still growing slow
17067,"They said that, right now, if we just passed this stimulus, the economy would grow at 4 percent",__label__Support,They passed the stimulus
17068,50 million of you won't receive it,__label__Attack,He says he's going to give you tax cuts
17069,I wanted them to move ahead,__label__Support,I would like that to be taken care of anyway
17070,"that I then had to turn around, as a governor of an energy-producing state, and kind of undo in my own area of expertise, and that's energy",__label__Attack,it was Barack Obama who voted for that energy plan that gave those tax breaks to the oil companies
17071,23 million people out of work,__label__Support,it's not working
17072,People in the coal industry feel like it's getting crushed by your policies,__label__Support,I want to get America and North America energy independent so we can create those jobs
17073,in Arizona they may offer a better plan that suits you best than it does here in Tennessee,__label__Support,it's OK to go across state lines
17074,if we are only thinking about tomorrow or the next day and not thinking about 10 years from now,__label__Support,we're not going to control our own economic future
17075,They cannot be allowed to acquire nuclear weapons period,__label__Support,"An armed, nuclear armed especially, Iran is so extremely dangerous to consider"
17076,"They had a choice on allowing prescription drugs into this country from Canada, of being with the American people or with the drug companies",__label__Support,They were with the drug companies
17077,"I visited a Jeep plant, oldest plant in America, a plant in Toledo, Ohio, where they're going to export 41,000 right hand drive Jeeps this year",__label__Support,they've got 700 new jobs because of it
17078,it could be put to use on the inner cities and lots of other things,__label__Support,"with a little leadership, you'd get it in here very quickly"
17079,the Fed is not doing their job,__label__Support,"The day Obama goes off, and he leaves, and goes out to the golf course for the rest of his life to play golf, when they raise interest rates, you're going to see some very bad things happen"
17080,If the Vice President of the United States thinks that Robert Bork was an outstanding appointment,__label__Support,that is a very good reason for voting for Mike Dukakis and Lloyd Bentsen on the 8th of November
17081,we worked together with Democrats to relieve the tax burden on the middle class and all who pay taxes in order to make sure this economy continues to grow,__label__Support,I had a record of working with Republicans and Democrats as the governor of Texas
17082,"he refused to see a symbol of human freedom recognized around the world, Aleksandr Solzhenitsyn",__label__Support,He's also shown a weakness in yielding to pressure
17083,The State Department has said that,__label__Support,I think that's been proven
17084,health care needs to be affordable and available,__label__Support,that's what we ought to do for all people in America
17085,All of them with little or no health insurance,__label__Support,One of them was a father who had been laid off a few months ago and lost his health insurance
17086,"He says, well, he's going to raise the taxes on the rich -- that's what he said -- the top two brackets",__label__Support,he's going to raise your taxes
17087,I was against the war in Iraq,__label__Support,That has not been debunked
17088,we're not going to spend taxpayers' money on abortion,__label__Support,It's one way to help reduce abortions
17089,we've got to get rid of a whole bunch of stuff,__label__Attack,"the magnitude of the tax cuts that you're talking about, Governor, would end up resulting in severe hardship for people, but more importantly, would not help us grow"
17090,No president had ever taken on the tobacco lobby before,__label__Support,I did
17091,There's legislation before the Congress to do that,__label__Support,"Let's eliminate political action committees, the special interest money"
17092,August was slower than it was in July,__label__Support,The economy is barely limping along
17093,"Detroit is being taxed for money that, let's say, will go to Chicago",__label__Attack,Wouldn't it make a lot more sense if the government let them keep their own money there in the first place?
17094,I think in retrospect we were too late getting in there,__label__Support,I think we should have come in much quicker with the humanitarian mission
17095,In the Georgia government we only had one agency responsible for drug treatment,__label__Support,"the efficiency of it, the simplicity of it, the uh ability of people to understand their own government and control it was a - was a uh - substantial benefit derived from complete reorganization"
17096,which is equal opportunity and an opportunity for people to realize their potential,__label__Support,I think we can do that in a way that represents what America is all about
17097,If we can get three miles more per gallon from our cars we'll get a -- we'll save 1 million barrels of oil a day,__label__Support,"We have to develop fuel cells, alternative energy, encourage people to conserve and to be efficient"
17098,I've been there,__label__Support,Massachusetts schools are ranked number one in the nation
17099,"because of the resilience and the determination of the American people, we've begun to fight our way back",__label__Support,"so the question here tonight is not where we've been, but where we're going"
17100,I'm against giving anybody any kind of preference for something they're not qualified for,__label__Support,I have also worked hard to give people a chance to prove that they are qualified
17101,There's a special protocol recently been passed that allows for inspections,__label__Support,"On Iran, I hope we can do the same thing, continue to work with the world to convince the Iranian mullahs to abandon their nuclear ambitions"
17102,What will be the leadership of the president in these areas to provide equality of opportunity for employment,__label__Support,I can assure you that if I'm elected president we will do so
17103,96 percent of his votes have been solely along party line,__label__Support,"Barack Obama, of course, he's pretty much only voted along his party lines"
17104,I would be willing to continue to raise the payment for shipment of goods through the Panama Canal Zone,__label__Support,I've just defined them
17105,"Let me say as well that I have also been a great supporter of public school education and that is something that Fritz and I feel very, very strongly about for the future of this country.",__label__Support,Fritz Mondale and I feel very strongly that if you educate your children that that's an effort and the way that you build up and make a stronger America.
17106,"We've had four budgets, four trillion-dollar deficits",__label__Support,Look at all the string of broken promises
17107,"Clearly, Abraham Lincoln put it best when he said you serve your party best by serving the nation first",__label__Support,"In my opinion, it is beneath Bob Dole to go after anyone personally"
17108,"When I and others in the legislature found out we had some millions of dollars in Sudan, we called for divestment through legislation of those dollars to make sure we weren't doing anything that would be seen as condoning the activities there in Darfur",__label__Support,That legislation hasn't passed yet but it needs to
17109,We still have trillion-dollar deficits,__label__Support,The CBO says we'll have a trillion-dollar deficit each of the next four years
17110,that's not what I believe,__label__Attack,"Because if you do, then Governor Romney is your candidate."
17111,I think that's a big mistake,__label__Attack,The governor has proposed skipping the next generation of weapons
17112,You cannot lead if you send mixed messages,__label__Support,that's my biggest concern about my opponent
17113,We’re going to have borders in our country,__label__Attack,which we don’t have now
17114,"There are some who allege, I can't prove it true or untrue, that uh - such a statement uh - in effect invited the North Koreans to invade South Korea",__label__Support,It's a fact they did
17115,if we just stick out heads in the sand and pretend that it's not real,__label__Support,we're not doing ourselves a favor
17116,"that we would have worked more aggressively with our friend and with other friends in the region to have them make the transition towards a more representative form of government, such that it didn't explode in the way that it did",__label__Support,I wish we'd have had a better vision of the future
17117,"No, in fact, when we talk about the Bush administration, there's a time, too, when Americans are going to say, ""Enough is enough with your ticket,"" on constantly looking backwards, and pointing fingers, and doing the blame game",__label__Support,There have been huge blunders in the war
17118,we were succeeding to the point that the Lebanese Government had been organized,__label__Support,We were succeeding
17119,Why didn’t she do something about it?,__label__Attack,She talks about health care.
17120,"To be president of this country, you need tremendous stamina",__label__Support,She doesn't have the look
17121,He has raised taxes several times,__label__Attack,The Governor has to balance the budget in his state he is required to by law
17122,I support another one now,__label__Support,that means keeping our military strong
17123,"that on math and reading, that in fact our minority students, our Hispanic and African-American students are doing better",__label__Support,We are closing the achievement gap
17124,we can't keep on borrowing from the Chinese and sending money to Saudi Arabia,__label__Support,We are going to have to deal with energy
17125,"I would call to your attention that in 1981 while we were operating still on the Carter-Mondale budget that we inherited -- that the interest rates came down from 21\1/2\, down toward the 12 or 13 figure",__label__Support,if there was a connection I think that there would be a different parallel between deficits getting larger and interest rates going down.
17126,Coming out of World War II it made sense,__label__Support,the other superpowers need to do their part
17127,because of our relations in NATO,__label__Support,I thought it was in our strategic interests to keep Milosevic in check
17128,At that point they tried a $40-billion end run to cut Social Security,__label__Support,the record is clear
17129,But I also want to be sure that we don’t leave people behind,__label__Support,"That’s why I’m the only candidate from the very beginning of this campaign who had a plan to help us revitalize coal country, because those coal miners and their fathers and their grandfathers, they dug that coal out"
17130,I want to express my appreciation to the League of Women Voters for adopting a course with which I believe the great majority of Americans are in agreement,__label__Support,I believe it would have been much more unfair to have had John Anderson denied the right to participate in this debate
17131,They have got to bear a greater share of this load of economic assistance abroad,__label__Support,"I am advocating, and will develop during the course of the next Administration - if, of course, I get the opportunity - a program in which we enlist more aid from these other countries on a concerted basis in the programs of economic development for Africa, Asia and Latin America"
17132,grow the economy,__label__Support,I believe that my plan is better than Senator Dole's ill-advised $550 billion scheme
17133,we are not for more tax cuts for multimillionaires,__label__Attack,the president and I will go forward to make the tax cuts permanent
17134,We've got to make sure that we're giving them the energy that they need or helping them to create the energy that they need,__label__Support,the United States government is working with the private sector to fund the kind of innovation that we can then export to countries like China that also need energy and are setting up one coal power plant a week
17135,because of our character,__label__Support,we always bounce back
17136,"as a result, produced Wilson, President Roosevelt, and President Truman",__label__Support,it has stood for concern for the people's welfare
17137,"the demographics that work out there, it's almost an iron law",__label__Support,They seriously question whether or not there will be any system left for them
17138,Milosevic has lost the election,__label__Support,"His opponent, Kostunica, has won the election"
17139,which is a wonderful charge,__label__Support,"You know, she’s given it to us"
17140,You talk about leverage,__label__Support,sometimes what happened in business would be really bad for government
17141,you say it's the wrong war at the wrong place at the wrong time,__label__Support,I don't see how you can lead troops
17142,"You know, in the neighborhood I grew up in, it was all about dignity and respect",__label__Support,A neighborhood like most of you grew up in
17143,We're on the hunt after Osama bin Laden,__label__Support,Of course we're worried about Osama bin Laden
17144,"Then he said, ""I am a card-carrying member of the ACLU.""",__label__Support,He is out there on out of the mainstream
17145,the other superpowers need to do their part,__label__Support,You can't be a superpower unless you're an economic superpower
17146,invest in education,__label__Support,I believe that my plan is better than Senator Dole's ill-advised $550 billion scheme
17147,"Barack Obama said, ""Big mistake. Hamas will win. You'll legitimize them.""",__label__Support,Hamas won
17148,"When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent",__label__Support,I know how to really work to get new jobs and to get exports that helped to create more new jobs
17149,they are trying artificially extend the monopoly patent protection,__label__Support,they can keep charging these very high prices
17150,I do not say that,__label__Attack,Donald thinks that climate change is a hoax perpetrated by the Chinese
17151,"we're going to cut about 5 percent of the discretionary budget, excluding military",__label__Support,You look at how we get to a balanced budget within eight to 10 years. We do it by getting -- by reducing spending in a whole series of programs
17152,I tried to analyze human predicaments in that microcosm of life in the -- in the world,__label__Support,"I found out that when I really got down to putting out do's and don'ts, and lots of these included take torture for this and that, and this and that, and never take any amnesty, for reasons they all understood and went along with"
17153,where the elections have been postponed three times,__label__Support,The center is Afghanistan
17154,"recommendations with regard to - again - slicing off a piece of free territory, and abandoning it, if - in effect, to the Communists",__label__Support,recommendations which Senator Kennedy voted for in 1955; again made in 1959; again repeated in his debates that you have heard
17155,"Exaggerations like, for example, only 5% of seniors receive benefits under my Medicare reform package",__label__Support,that's simply not the case
17156,it's not affordable,__label__Support,I get rid of is Obamacare
17157,it is not the right thing for the future,__label__Support,but not in the environmental treasures of our country
17158,we're shutting firehouses who are the first- responders here in America,__label__Support,We hadn't done the work that ought to be done
17159,it's not that many,__label__Support,That's a scare tactic
17160,a great many of our small businesses pay taxes under the personal income taxes rather than the corporate rate,__label__Support,That's not smart
