,Unnamed: 0,head,relation,tail
15137,12986,to get those reductions in strategic weapons,__label__Support,I strongly supported
15138,12987,these are the government investing in companies,__label__Support,This is not research
15139,12988,You must have mandatory testing,__label__Support,Testing is the cornerstone of reform
15140,12989,I have voted for the major pieces of environmental legislation that have come down and been voted on in the United States Senate,__label__Support,I have a very strong record on the environment in the United States Senate
15141,12990,It is losing $8 billion as we stand here tonight,__label__Attack,our balanced budget plan extends the Medicare Trust Fund ten years into the future
15142,12991,he was against it,__label__Support,"if he had had his way when the Nimitz was being planned, he would have been deep in the water out there"
15143,12992,That's exactly right,__label__Support,It's one of the reasons for the great financial calamity we had
15144,12993,theyâ€™re keeping the peace,__label__Support,we got it
15145,12994,It’s called the Buffett rule,__label__Support,I want to have a tax on people who are making a million dollars
15146,12995,devoted to talking about energy,__label__Support,that is something that I would welcome
15147,12996,he should have been tackling it for the last seven years,__label__Attack,I will tackle this problem and focus on new technologies that will make us less dependent on big oil or foreign oil
15148,12997,for 24 years I have never been afraid to take on the big drug companies,__label__Support,we bring the price down for everybody
15149,12998,"Six months after he said Osama bin Laden must be caught dead or alive, this president was asked, ""Where is Osama bin Laden",__label__Support,We need a president who stays deadly focused on the real war on terror
15150,12999,"33,000 e-mails deleted, and now she’s saying there wasn’t anything wrong.And more importantly, that was after getting a subpoen",__label__Support,she’s lying again
15151,13000,That of course was rejected as was the government contracts provision by the special session of the Congress to - in which Mr. Kennedy was quite active,__label__Support,"as far as other areas are concerned, I think that we have to look to presidential leadership"
15152,13001,"as George Washington, as Abraham Lincoln did",__label__Support,"When you're the president of the United States, you have a public trust and you have to keep that public trust"
15153,13002,"all federal funds, instead of going to the -- to the state or to the school district, I'd have go, if you will, follow the child and let the parent and the child decide where to send their -- their -- their student",__label__Support,"I want the kids that are getting federal dollars from IDEA or Title I -- these are disabled kids or -- or -- or poor kids or -- or lower-income kids, rather, I want them to be able to go to the school of their choice"
15154,13003,That's not good for our country,__label__Support,"Bill Clinton and I believe that the United States of America has its brightest days ahead, and we will see them even brighter if we promote diversity and harmony among all our people"
15155,13004,"we are confronting a budget deficit this year - and this fiscal year will end in about 10 days, and we are confronted with the possibility of a deficit of $60 billion, perhaps as much as $63 billion",__label__Support,"I, first of all, oppose an election year tax cut"
15156,13005,It would stimulate investment,__label__Support,I believe what you need to do is some of what Ross is talking about: control the growth of mandatory spending and get taxes down
15157,13006,That's not what I believe,__label__Support,"I think a lot of this campaign, maybe over the last four years, has been devoted to this nation that I think government creates jobs, that that somehow is the answer"
15158,13007,Now we're changing to one conflict,__label__Attack,We've changed for the first time since FDR -- since FDR we had the -- we've always had the strategy of saying we could fight in two conflicts at once
15159,13008,to think that this administration vetoed the one chance they had to ban that practice without working with people in the Congress who would have loved to have had the opportunity to stop that gruesome practice is just unacceptable to the American people,__label__Attack,We will never allow a woman's right to choose to be taken away
15160,13009,"one thing that I don't think that it is wise to do, and that is to change your position",__label__Attack,"Bill Clinton, when he was governor of Arkansas, also worked with the Right to Life people and supported Right to Life positions and now he has changed"
15161,13010,that's not the $54 billion cost that John is talking about,__label__Attack,"The initial cost is about $54 billion, and then when you add in the additional costs - not only the construction of the system, the missiles and the personnel, and so on - when you add in the additional costs over the lifecycle of that system, over $100 billion"
15162,13011,we've got to innovate through school choice,__label__Support,We've got to innovate through this America 2000 program
15163,13012,which is an effective way of getting real progress made in this area,__label__Support,there we would give statutory authority to the Committee on Government Contracts
15164,13013,We believe in opportunity and upward mobility,__label__Support,That's what we're going to push for in a Romney administration
15165,13014,"Laura and I are proud parents of teenage girls, twin daughters, and I know what you're saying",__label__Support,Government ought to stand on the side of parents
15166,13015,Then you have the military and then you have the civilian government,__label__Support,it's not time to divorce
15167,13016,He has supported the administration on Kosovo,__label__Support,I think he deserves a lot of credit for that
15168,13017,"yes, we can help, but it's going to take a different path",__label__Attack,Not the one we've been on
15169,13018,I do have a plan that deals with people with pre-existing conditions,__label__Support,what we did in Massachusetts is a model for the nation state by state
15170,13019,"the polls uh - are good indications of fluctuations, but they vary widely one from another",__label__Support,"the only poll I've ever followed is the one that uh - you know, is taken on election day"
15171,13020,the same kind of strategy of go out and secure and hold and allow people to live normal lives,__label__Support,He still will not admit that he was wrong about the strategy of the surge in Iraq
15172,13021,"When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it’s in business and trade, where we’re doing so badly",__label__Support,"Last year, we had an almost $800 billion trade deficit"
15173,13022,I believe you are going to just ask for conflagration that we'll get involved in the future,__label__Support,"I think we will have a continuing responsibility, as the only remaining superpower, to stay involved"
15174,13023,they say we won't pass -- we won't continue the middle class tax cut unless you give the tax cut for the super wealthy,__label__Support,they're holding hostage the middle class tax cut
15175,13024,investing in companies? Absolutely not,__label__Attack,this isn't basic research
15176,13025,the consumers pay for products and im- and imposing upon the farmers uh - controls on acreage even far more than they have today.,__label__Support,I think this is the wrong direction.
15177,13026,we may not succeed,__label__Support,"If we cannot succeed, then we must strengthen ourselves"
15178,13027,it is unfortunate,__label__Support,The killing and tragedies had taken place
15179,13028,the president pointed out correctly that production of oil and gas in the U.S. is up,__label__Support,Energy is critical
15180,13029,"I've worked with them for 20 years, for longer than this president",__label__Support,I know what many of them say today
15181,13030,A guy named Michael runs the school,__label__Support,It is a school full of so-called at-risk children
15182,13031,I don't have the stomach for genocide when it comes to Darfur,__label__Support,We can now impose a no-fly zone
15183,13032,we are more subject to the wide fluctuations and swings in price,__label__Support,Our imports are at an all-time record high
15184,13033,That's called business,__label__Attack,Donald was one of the people who rooted for the housing crisis
15185,13034,I don't think that that's a proper objective in trying to clean up this environment,__label__Support,I've supported that very strongly
15186,13035,I put my career on the line,__label__Support,I really believe the future of America is on the line
15187,13036,look at the mess that we're in,__label__Support,I'll take the admirals and I'll take the generals any day over the political hacks that I see that have led our country so brilliantly over the last 10 years with their knowledge
15188,13037,I think under those circumstances they would refrain from pushing us to our knees as they did in 1973 with their previous oil embargo,__label__Support,"if Saudi Arabia should declare an oil embargo against us, then I would consider that an economic declaration of war"
15189,13038,It’s a horrible thing she’s doing,__label__Attack,Come right in. Come right over.
15190,13039,as far as dependence of our country in meeting the needs and obligations that we've expressed to our allies,__label__Support,we are weak
15191,13040,renegotiate at the new value of those homes,__label__Support,I would order the secretary of the treasury to immediately buy up the bad home loan mortgages in America
15192,13041,We compete,__label__Support,The best America is yet to come
15193,13042,He talks about the progress in the field of slum clearance and the like. We find four times as many projects undertaken and completed in this Administration than in the previous one,__label__Support,It has not been standing still
15194,13043,"Two days ago in the Oval Office, I met with the finance minister from Iraq",__label__Support,he talked about how optimistic he was and the country was about heading toward elections
15195,13044,"President Reagan said no, peace through strength",__label__Support,I think I got a good plan to help fix those problems at home
15196,13045,"the last conversation she had with her father was him calling from the twin towers, saying ""Peyton (ph), I love you and I will always watch over you.""",__label__Support,"And for the next decade, she was haunted by that conversation"
15197,13046,You are going to drive business out,__label__Attack,we have a very robust set of plans
15198,13047,That enhances it,__label__Support,what I've tried to do as president is to apply those same principles
15199,13048,"As a matter of fact, there're 8 here in St. Petersburg, already on the beat, you may run into one of them leaving this auditorium tonight",__label__Support,St. Petersburg is safer because of this urban agenda that we're following
15200,13049,"he hasn't described what exactly we'd replace it with, other than saying we're going to leave it to the states",__label__Support,there's no indication that that somehow is going to help somebody who's got a pre-existing condition be able to finally buy insurance
15201,13050,it's time to get somebody in Washington who is going to work with both Republicans and Democrats to get some positive things done when it comes to our seniors,__label__Attack,they can't get it done
15202,13051,"I am the President that stood up and said, ""Don't mess with Social Security.""",__label__Support,"I'm not going to, and we haven't"
15203,13052,Children whose parents wouldn't speak English as a first language just move through,__label__Support,just kids were being shuffled through the school
15204,13053,Ten million people have registered to vote in Afghanistan in the upcoming presidential election,__label__Support,our nation has been on a multi-pronged strategy to keep our country safer
15205,13054,They would establish a base in Iraq,__label__Support,"Senator Obama still doesn't quite understand -- or doesn't get it -- that if we fail in Iraq, it encourages Al Qaida"
15206,13055,"Nobody should smoke, young or old",__label__Support,my record is there
15207,13056,You're going to get a tax relief in my plan,__label__Attack,"matching savings here and matching savings there, fully-funded it's gonna cost a whole lot of money, a lot more than we have"
15208,13057,"If you go with what Hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby",__label__Support,I think it's terrible
15209,13058,"I believe if we have the option, which scientists tell us we do, of curing Parkinson's, curing diabetes, curing, you know, some kind of a, you know, paraplegic or quadriplegic or, you know, a spinal cord injury, anything, that's the nature of the human spirit",__label__Support,I think it is respecting life to reach for that cure
15210,13059,"The administration brought a criminal action against the people drilling up there for oil, this massive new resource we have",__label__Support,a lot of it came from the Bakken Range in North Dakota
15211,13060,Young folks saying I'm going to do something good for my country,__label__Support,I want to teach
15212,13061,I would like to point out also that senators like Henry Jackson and Hollings of South Carolina - they are taking the lead in the fight against this particular treaty,__label__Support,"I am talking of taking the treaty back, and going back into negotiations"
15213,13062,we are protecting both of them,__label__Support,My Secretary of Defense is going to have to make a very difficult decision in which system to go forward with
15214,13063,that's not what's been done over the past four years,__label__Support,I think that if you were to take a look at the failures of this administration that would have to be number one
15215,13064,we were still deeply involved in the problems of Vietnam,__label__Support,That uh - situation called for me to first put the United States on a steady course and to keep our keel well balanced
15216,13065,we've added a million more children to the ranks of the insured through the Medicaid program,__label__Support,add another million children to the insured ranks through the Medicaid program
15217,13066,They did not,__label__Support,"He said we will not test in space - in the atmosphere, if you will not"
15218,13067,"if you will, of the Al Qaida organization",__label__Support,"also take down the Taliban regime which allowed them to function there, in effect sponsors"
15219,13068,I hope there is not any doubt in the mind of any member of the community of West Berlin,__label__Support,We will meet our commitments to maintain the freedom and independence of West Berlin
15220,13069,My priority is making sure that we get more people hired,__label__Support,my plan will do that
15221,13070,that's the central front on terrorism,__label__Support,I think it's so important for us to reverse course
15222,13071,The vice president himself went to China and said that he sympathized and wouldn't second guess their one child policy of forced abortions and sterilizations,__label__Support,they support it without restriction and with taxpayer funding
15223,13072,A 1% increase in interest rates in that $2.8 trillion is $28 billion a year,__label__Support,you realize this is a temporary thing and there's going to be another sucking sound that runs our deficit through the roof
15224,13073,we not only ask the wealthiest Americans and foreign corporations to pay their share,__label__Support,I believe we can increase investment and reduce the deficit at the same time
15225,13074,that is the comment that was made by Secretary Haig after he left office,__label__Support,"it seems to me in 1982, when the administration presented its Start proposal, that it wasn't a realistic proposal"
15226,13075,the whole uh subject of crime is one that concerns our people very much,__label__Support,"I think that what the people are concerned about is not the - uh pardon or the amnesty of uh - those who evaded the draft, but - but whether or not our crime system is - is fair"
15227,13076,but I am not going to cut it out of Social Security and Medicare and student assistance and things -- [applause] -- that people need.,__label__Support,The rate of defense spending increase can be slowed
15228,13077,I'm concerned about the direction America has been taking over the last four years.,__label__Support,I'm concerned about America
15229,13078,It's necessary we win,__label__Support,I expect to win
15230,13079,my five point plan is so different than what he would have done,__label__Support,President Bush and I are -- are different people
15231,13080,replace it with a doctrine of prevention and cooperation,__label__Attack,And a policy that would reject the Bush Doctrine of preemption and regime change
15232,13081,"The mayor up there, on the program",__label__Support,we've got to innovate through school choice
15233,13082,it has taken many turns which I think are unacceptable,__label__Support,I regret some of the negative aspects of both campaigns
15234,13083,"They just wouldn't do it, and everybody now knows the terrible price they're paying by waiting until it's obvious to the brain-dead that they have problems",__label__Support,I think the General Motors thing is very relevant
15235,13084,Religion has been a huge part of my life,__label__Attack,"I can't take what is an article of faith for me and legislate it for someone who doesn't share that article of faith, whether they be agnostic, atheist, Jew, Protestant, whatever"
15236,13085,"I've been open, candid and forthright",__label__Support,There has been a restoration of faith and confidence and trust in the presidency
15237,13086,They already organized their retirement around these promises,__label__Support,we're saying don't change benefits for people 55 and above
15238,13087,It's to make sure our troops are well-housed and well-equipped,__label__Support,I want to rebuild the military power
15239,13088,The amount of money being spent to try to mislead the American people is demagoguery,__label__Attack,he would wait until after the election to do it
15240,13089,We pay 4.7 billion,__label__Support,"Let me go back to Texas, for example, for a minute"
15241,13090,he said also that his two favorite justices are Justice Scalia and Justice Thomas,__label__Support,you get a pretty good sense of where he's heading if he were to appoint somebody
15242,13091,record numbers of new small businesses,__label__Support,"I think when you look at those results, you know the plan I've laid out for the future has a very good chance of being enacted if you'll give me a chance to build that bridge to the 21st Century"
15243,13092,We don't want to get drawn into a military conflict,__label__Support,we don't want to have military involvement there
15244,13093,"that's what my friend from Indiana has opposed repeatedly, vote after vote",__label__Attack,I would push very strong to see that we reform the entire situation
15245,13094,"in many cases, they own the companies",__label__Support,the special interests want those companies to leave
15246,13095,even people that have a job are afraid that they're going to be fired,__label__Support,there has been an increase in layoffs and that's something that bothers everybody
15247,13096,I agree our military is the strongest in the world today,__label__Support,I will do whatever is necessary in order to make sure our forces stay the strongest in the world
15248,13097,We can have filters on Internets where public money is spent,__label__Support,there's things that government can do.
15249,13098,Reform of government is coming,__label__Support,We'll learn from the past mistakes in this administration and other administrations
15250,13099,It's a nonpartisan commission,__label__Support,"After this year is over, we'll resolve it just as we did with Social Security in `83"
15251,13100,he's talking tough medicine,__label__Support,I think that's good
15252,13101,"The AFL-CIO the other day, behind the blue screen, I don't know who you were talking to, Secretary Clinton, but you were totally out of control",__label__Support,I also have a much better temperament than she has
15253,13102,Which was rejected,__label__Attack,this idea came from the Clinton commission to save Medicare chaired by Senator John Breaux
15254,13103,You know that,__label__Support,"Whenever you get a large rally of 10,000, 15,000, 20,000 people, you're going to have some fringe peoples"
15255,13104,"using that base of strength, and using the idealism, the honesty, the predictability, the commitment, the integrity of our own country, that's where our strength lies.",__label__Support,ermit us to deal with the developing nations in a position of strength.
15256,13105,We've been there also so that connection was important,__label__Support,But even more important is that worldview that I share with John McCain
15257,13106,"I want a Supreme Court that will stick with Roe v. Wade and a woman’s right to choose, and I want a Supreme Court that will stick with marriage equality",__label__Support,So I have very clear views about what I want to see to kind of change the balance on the Supreme Court.
15258,13107,I haven't heard how his policy is going to be different on Iran than George Bush's,__label__Support,I haven't heard anything yet
15259,13108,"why can’t they do something secretively, where they go in and they knock out the leadership",__label__Attack,why would these people stay there
15260,13109,we've had tough aggressive trade policies,__label__Support,"We're No.1 in automobile manufacturing production and sales around the world again, the first time since 1970s"
15261,13110,"we've got uh - the highest unemployment we've had uh - under Mr. Ford's administration, since the Great Depression",__label__Support,"This affects human beings, and - and his insensitivity in providing those people a chance to work has made this a welfare administration, and not a work administration"
15262,13111,Those are the fuzzy math figures put together by some group that works for the campaign,__label__Support,the president's figures of $2.2 trillion just aren't accurate
15263,13112,we're making progress,__label__Support,we're paying attention to it
15264,13113,I have fought against excessive spending and outrages,__label__Support,This is the most liberal big-spending record in the United States Senate
15265,13114,wrote the Violence Against Women Act,__label__Attack,which John McCain voted against both of them
15266,13115,The sanctions are being violated,__label__Support,The coalition against Saddam has fallen apart or it's unraveling
15267,13116,that's one of the reasons the Afghan Security Forces have so much work to do to be able to fight against that,__label__Support,They're going to come rushing back in to Afghanistan when we go
15268,13117,"In the same way that you say you would have ended the war in Iraq, but recently gave a speech saying that we should have 20,000 more folks in there",__label__Support,"the problem is, is that on a whole range of issues, whether it's the Middle East, whether it's Afghanistan, whether it's Iraq, whether it's now Iran, you've been all over the map"
15269,13118,when we're weak at home - weaker than all our allies - that weakness weakens the whole free world,__label__Support,So strong economy is very important
15270,13119,"back then, we intercepted a suitcase in a Middle Eastern country with nuclear materials in it",__label__Support,"I wrote a book about it several years ago -- six, seven years ago -- called ""The New War,"" which saw the difficulties of this international criminal network"
15271,13120,We are back on the right track,__label__Attack,He would send us back into recession with his tax plans that benefit the wealthiest of Americans
15272,13121,that position is that the United States has a treaty - a treaty with all of the Organization of American States - which prohibits us from interfering in the internal affairs of any other state and prohibits them as wel,__label__Support,For me to have made such a statement would been in direct uh - opposition to that treaty
15273,13122,He went down and made a speech to people who were on his side saying that I did the wrong thing,__label__Support,Senator Dole opposed me
15274,13123,"We've lost 357,000 manufacturing jobs",__label__Support,The Bureau of Labor Statistics today said they made a mistake
15275,13124,our Joint Chiefs of Staff have said they'd never exchange our military power for theirs,__label__Support,"if we keep talking about military inferiority - which we do not have, we are at a comparable level with the Soviet Union"
15276,13125,part of it is also looking at other sources of the violence,__label__Support,I'm trying to do is to get a broader conversation about how do we reduce the violence generally
15277,13126,an education that makes sure there's excellence in every classroom,__label__Support,we've got to get it right in the education system
15278,13127,I would like to see is for people to come together and say: Of course we're going to protect and defend the Second Amendment,__label__Support,"we're going to do it in a way that tries to save some of these 33,000 lives that we lose every year"
15279,13128,They did it,__label__Support,"the Joint Chiefs of Staff went to the President, said, ""Don't put those troops there.''"
15280,13129,if you are going to save any money through what Governor Romney's proposing,__label__Support,the money has to come from somewhere
15281,13130,I think enterprise zones are good,__label__Support,enterprise zones are important
15282,13131,That is beyond bad judgment,__label__Attack,"some of these dictators who hate America and hate what we stand for, with our freedoms, our democracy, our tolerance, our respect for women's rights, those who would try to destroy what we stand for cannot be met with just sitting down on a presidential level as Barack Obama had said he would be willing to do."
15283,13132,"that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us",__label__Support,strongly promoted by President Bush and supported by Senator McCain
15284,13133,let's focus on getting the costs down for people,__label__Attack,"rather than raising it with the $2,500 additional premium"
15285,13134,it was a way to get ahead,__label__Support,joining a gang is like joining a family
15286,13135,"some major uh - uh - manufacturing companies, like Dow Chemical, have through uh - very effective efficiency mechanism cut down the use of energy by uh - as much as 40 percent with the same out-product",__label__Support,the private sector ought to be encouraged to - to bring forward to the public the benefits from efficiency
15287,13136,they deserve good leadership,__label__Support,George Bush is the man to do this
15288,13137,I think we ought to work with people at the local levels,__label__Support,"I don't believe in command and control out of Washington, D.C."
15289,13138,"if you're happy with inactivity, stay with the horse",__label__Support,you need to get somebody that knows how to bring Republicans and Democrats together to get positive things done for America
15290,13139,it just doesn't work out that way,__label__Support,"I don't think that to try and say that we were taxing the rich, and not the other way around"
15291,13140,Our wives are best friends,__label__Support,"one of my best friends in Janesville, a reservist, is at a forward-operating base in eastern Afghanistan right now"
15292,13141,We've negotiated over 200 separate trade agreements,__label__Support,We've gained manufacturing jobs since I've been President
15293,13142,"To go into a Catholic mass in a beautiful cathedral in New York under the cause of helping in AIDS and start throwing condoms around in the mass, I'm sorry, I think it sets back the cause",__label__Support,The extremes are hurting the AIDS cause
15294,13143,It has some very elderly leaders that will not be around too much longer,__label__Support,Asia will be our largest trading partner in the future
15295,13144,"when you measure you can ask the question, do they know? Is anybody being profiled? Is anybody being discriminated against?",__label__Support,"One of the cornerstones of reform, and good reform, is to measure"
15296,13145,we now have the highest uh - surpluses - nine billion dollars worth.,__label__Support,"The dropping of the support price in order to limit production does not work,"
15297,13146,John McCain and I actually requested the Federal Trade Commission report that came out three or four weeks ago,__label__Support,we cannot let America's parents stand alone in this competition that they feel they're in with Hollywood to raise their own kids and give their kids the faith and values they want to give them
15298,13147,it went against his policy,__label__Support,the president of South Korea went back to South Korea bewildered and embarrassed
15299,13148,"We said you've got -- banks, you've got to raise your capital requirements",__label__Support,You can't engage in some of this risky behavior that is putting Main Street at risk
15300,13149,we need to do our part,__label__Attack,We by no means are carrying anywhere near the load that Europe and others are
15301,13150,"in my home town of Chicago, there's an awful lot of violence",__label__Support,They're using cheap hand guns
15302,13151,"I was able for two years when I was in, a very young boy to go to a Catholic school",__label__Support,I basically went to public schools all my life
15303,13152,required that all uh - severe sentences be reviewed far uniformity,__label__Support,"While I was governor of Georgia, although I'm not a lawyer, we had complete reform of the Georgia court system"
15304,13153,"all of these flights that have come in, all of them have been in accordance with the sanctions regime, I'm told, except for three where they notified",__label__Support,I don't think they should be allowed to
15305,13154,"It seemed to me that if I was to uh adequately and effectively handle the problems of high inflation, a growing recession, the uh - involvement of the United States still in Vietnam that I had to give a hundred percent of my time to those two major problems",__label__Support,"in the case of Mr. Nixon, the reason the - the pardon was given, was that, when I took office this country was in a very, very divided condition"
15306,13155,For the first time we are talking about the impact of CO2 to the ozone layer,__label__Support,That's progress with the environment
15307,13156,The middle-income families in America have been crushed over the last four years,__label__Support,I want middle-income taxpayers to have lower taxes
15308,13157,This weakens the chances of civilization to survive,__label__Support,This doesn't strengthen us
15309,13158,those are the stakes,__label__Support,it is essential we not leave
15310,13159,She paid all of her taxes on the promise that these programs would be there for her,__label__Support,I think about what they've done for my own family
15311,13160,That's what liberals do,__label__Support,They create government-sponsored health care
15312,13161,I think I understand their concerns and their problems,__label__Support,I've supported that
15313,13162,That's our purpose,__label__Support,the mantle of leadership for the -- promoting the principles of peace has fallen to America
15314,13163,involve the American people and the Congress in the shaping of our foreign policy,__label__Support,I'm not gonna exclude the American people from that process in the future
15315,13164,"with 49 of our allies in Afghanistan, we've agreed on a gradual drawdown so we're out of there by the year 20 -- in the year 2014",__label__Support,It's their responsibility to take over their own security
15316,13165,"More Americans at work today than at any time in the history of the country, and a greater percentage of the work force",__label__Support,what I want to do is keep this expansion going
15317,13166,"I used to go home, my mother would tell me, Bob, all I've got is my Social Security and my Medicare, don't cut it",__label__Support,I wouldn't violate anything my mother said
15318,13167,"That costs the government $7,700 per family",__label__Attack,he wants everybody to be able to buy in to the same plan that senators and congressmen get
15319,13168,you said that these deficits don't have anything to do with interest rates,__label__Support,there is no connection between them
15320,13169,we are providing tremendous service and we're losing a fortune,__label__Support,they should be paying us
15321,13170,Under absolutely siege,__label__Attack,"The EPA, Environmental Protection Agency, is killing these energy companies"
15322,13171,Create more jobs and opportunities for people on and off welfare,__label__Support,We've got a great economic package
15323,13172,"He said, ""Joe, understand one thing. Everyone's sent here for a reason, because there's something in them that their folks like. Don't question their motive.""",__label__Support,"I have been able to work across the aisle on some of the most controversial issues and change my party's mind, as well as Republicans', because I learned a lesson from Mike Mansfield"
15324,13173,"I think something this big, this important has to be done on a bipartisan basis",__label__Support,we have to have a president who can reach across the aisle and fashion important legislation with the input from both parties
15325,13174,We have got to get health coverage for those who do not have it,__label__Support,We have got to deal with long-term care
15326,13175,We'll stay on the hunt on Al Qaida,__label__Support,There is more work to be done
15327,13176,That's wrong,__label__Support,all believe I would make a stronger commander in chief
15328,13177,"Other senators, other congressmen choose other programs",__label__Support,we're going to help Americans be able to buy into it
15329,13178,went with John McCain to Vietnam to find out what happened to our POWs,__label__Support,I think the most important thing I've learned from this process is what I now know about John Kerry
15330,13179,we're peacekeepers,__label__Support,we are peacemakers
15331,13180,I think his record speaks for itself,__label__Attack, It's amazing to hear him criticize either my record or John Kerry's
15332,13181,"And one of the things he said early on when he was choosing, he said he picked someone who had an independent judgment and wouldn't be afraid to tell him if he disagreed",__label__Support,"That is sort of my reputation, as you know"
15333,13182,They don't like ours,__label__Support,"I also recognize that as the two great superpowers in the world, we have to live with each other"
15334,13183,"Senator, no one's playing with your votes",__label__Support,there's a main stream in American politics and you sit right on the far left bank
15335,13184,The American people will be called upon to tighten their belts a bit in meeting some of the problems that we face domestically,__label__Support,I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years
15336,13185,a president must always be willing to use troops,__label__Support,"I have a solemn duty to protect the American people, to do everything I can to protect us"
15337,13186,the average American pays the taxes for them,__label__Support,That's got to be changed
15338,13187,I believe that there is enough extravagance and fat in government,__label__Support,We have a program for a gradual reduction of Government spending based on these theories
15339,13188,I think it needs to be moved out of the budget and protected,__label__Support,I don't think it should be used as a piggy bank for other programs
15340,13189,I believe that Governor Carter doesn't realize the need and necessity for arms sales to Iran,__label__Support,"we ought to sell arms to Iran for its own national security, and as an ally - a strong ally of the United States"
15341,13190,to hold a job,__label__Support,I think the greatest thing that ever happened to the South was the passage of the Civil Rights Act and the opening up of opportunities - uh to black people
15342,13191,Because we’ve seen this throughout the campaign. We have seen him insult women,__label__Support,I think it’s clear to anyone who heard it that it represents exactly who he is
15343,13192,We saw that firsthand when she was a United States senator,__label__Support,"She wants their vote, and she does nothing, and then she comes back four years later."
15344,13193,I will never turn over our national- security decisions to leaders of other countries,__label__Attack,"In order to defend ourselves, we'd have to get international approval"
15345,13194,I've been waiting for years,__label__Support,Nobody does it right
15346,13195,Nor was I misleading on the day that the president decided to go to war,__label__Support,I wasn't misleading when I said he was a threat
15347,13196,now we see beheadings,__label__Support,it's getting worse by the day
15348,13197,We're not moving ahead in education the way we should,__label__Support,"My judgment is that the Republican party has stood still here in the United States, and it's also stood still around the world"
15349,13198,I think we should be no - under no illusions whatever about what the responsibilities of the American people will be in the sixties,__label__Attack,I'm confident that this country can meet its responsibilities
15350,13199,I have supported the largest pay raise in many a year,__label__Support,I support another one now
15351,13200,"the Taliban -- what we've found out, and we -- you saw it in Iraq, Martha, unless you set a timeline, Baghdad, in the case of Iraq, and -- and Kabul, in the case of Afghanistan will not step up",__label__Support,"The only way they step up is to say, ""Fellas, we're leaving; we've trained you; step up, step up."""
15352,13201,Net farm income is off 50 percent in the last 3 years,__label__Support,every farmer knows it
15353,13202,I want it to be the one to finally lead the world to banishing chemical and biological weapons,__label__Support,"in terms of peace, we are on the right track"
15354,13203,make sure that we're keeping guns out of the hands of criminals,__label__Support,we have to enforce the laws we've already got
15355,13204,In a little school everybody is somebody,__label__Support,"You need small schools, not big schools"
15356,13205,I've talked to them,__label__Support,I have uh - an adequate background
15357,13206,Parents are teaching their children right from wrong,__label__Support,Government ought to stand on the side of parents
15358,13207,"But everybody else, the 170 million of us who get health insurance through our employers got big benefits.",__label__Support,insurance companies can’t deny you coverage because of a pre-existing condition
15359,13208,There's some 600-plus tons of unsecured material still in the former Soviet Union and Russia,__label__Support,Nuclear proliferation
15360,13209,"give every child a chance to learn with one-on-one time in a quality -- high-quality, safe school",__label__Support,We have to make it the number one priority
15361,13210,"If you are part of the -- of the bottom 20% or so of wage earners, then you will get an expanded earned income tax credit",__label__Support,"Now, the tax relief that I propose is directed specifically at middle-income individuals and families"
15362,13211,We have spent their money,__label__Support,We've got to pay it back
15363,13212,I also support modernization of our strategic and tactical weaponry,__label__Attack,The governor has proposed skipping a generation of technology
15364,13213,this hasn't been an easy decision for me to meet,__label__Support,I don't think that you make an exception based on medical knowledge at the time
15365,13214,We'll lose it when it's taken out of our paycheck before we even get it,__label__Support,We don't have an alternative
15366,13215,We need to explore our resources,__label__Support,in the short-term we need to get after it here in America
15367,13216,I set high standards,__label__Support,I know that the people you pick make an enormous difference in your ability to govern
15368,13217,we were going to make sure that we finished the job,__label__Support,Moammar Gadhafi had more American blood on his hands than any individual other than Osama bin Laden
15369,13218,They're banning automobiles some days of the week,__label__Support,they're choking to death on the air pollution
15370,13219,I happen to like President Clinton personally,__label__Support,I respect the presidency
15371,13220,"I want to bring the rates down, at the same time lower deductions and exemptions and credits and so forth",__label__Support,they will be able to hire more people
15372,13221,It's going to require somebody who can work across the partisan divide,__label__Support,"My plan also says it requires a new approach in Washington, D.C."
15373,13222,you've got it wrong,__label__Attack,It comes out to $100 billion of foreign aid for environmental projects
15374,13223,"when the baby boomers like me retire, we're okay",__label__Support,we have to work out of so that surplus is building up
15375,13224,I have a record,__label__Support,that is a very good reason for voting for Mike Dukakis and Lloyd Bentsen on the 8th of November
15376,13225,so that the student who walks in has more one-on-one time with the teacher,__label__Support,We've got to reduce the class size
15377,13226,"If the uh - list was, uh - in my opinion, fairly uniform",__label__Support,I would undoubtedly choose someone who would most accurately reflect my own basic politi- political philosophy as best I could determine it
15378,13227,after consulting her conscience and consulting her religious principles,__label__Support,"I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision"
15379,13228,"We have to remember that the cold war that Mr. Khrushchev is waging and his colleagues are waging, is waged all over the world and it's waged right here in the United States.",__label__Support,The question of Communism within the United States has been one that has worried us in the past.
15380,13229,There are 9 countries that spend more than we do on public education,__label__Support,We do not spend a higher percentage of our income on public education than every other country
15381,13230,It involves Turkey,__label__Support,It's a real problem
