head,relation,tail
"we've made it clear, big nations can't bluff",support,this president doesn't bluff
that's the decision of the next president of the united states,support,"the next president of the united states is going to have to decide how we leave, when we leave, and what we leave behind"
we can't put the middle east peace process on our timetable,attack,it's got to be on the timetable of the people that we're trying to bring to the peace table
we've put it through a good economic model,support,the formula i've given you works
we did not use our military wisely in iraq,support,we have to use our military wisely
"i think this republican administration has been almost all style, and spectacular, and not substance",support,the ford administration has failed
"these two peoples have come in some senses, generations forward, centuries forward, in the last seven years",support,they are so close to a final peace agreement
"as for saving energy and conserving, the american people haven't been doing badly at that",support,i think we are proving that we can go forward with conservation and benefit from that
"we want to pursue that plan in a way which will bring down the level of nuclear armament, will build a more stable and more peaceful world while making choices here at home",support,that's why we need a democratic administration in washington in 1989
if we're a humble nation,support,they'll respect us
it also defined marriage as between a man and woman,support,i'm deeply concerned that judges are making those decisions and not the citizenry of the united states
it will help you in whatever you're going to do in the next few years,support,"i keep my word, and you will have a tax cut"
"one of them was a letter congratulating the great members of the military and allies that had conducted and succeeded in the greatest invasion in history, still to this day, and forever",support,"president eisenhower, on the night before the normandy invasion, went into his room, and he wrote out two letters"
i think that something can be done from there,support,i believe in it
"as martin luther king said, we ought to judge people on the content of their character instead of the color of their skin",support,"i think in terms of equality of opportunity, that we judge people as individuals"
we're going to look for businesses to help us by buying american products,support,we're going to pull the country together
that's where we are,support,we have got to become more concerned about people who play by the rules and get the balance we require
tax reform is relevant for old and young alike,support,"what i think needs to happen in order to encourage the young to become involved is to shoot straight, is to set aside the partisan differences, and set an agenda that will make sense"
in 1983 we thought we had a 75 -year fix,support,it didn't work
millions of people have lost their jobs,support,i don't think the country can take four more years of this kind of experience
"i proposed, 15 months ago, the emergency excise tax on gasoline that i did",support,we are going to have to create a new conservation ethic in the minds of the american people
they think their good hearts might be brittle,support,"if they invest their hopes and allow themselves to believe, then they're gonna be let down and disappointed"
"in the senate i was one of only ten democrats, along with senator joe lieberman, to support governor bush's dad in the persian gulf war resolution",support,i've worked on that long and hard
how does that grab you for increasing housing,support,housing is up
i talk to the republican leaders and they want it,support,i think i could go to washington in a week and get everybody holding hands and get this bill signed
"there's a lot of young folks saying, you know, why do i want to be involved with this mess",support,they don't want any part of politics
i've thought a lot about what it means to be the president,support,i also understand that an administration is not one person
"they have about 12,000",support,"we've got to move forward with those negotiations, get the level of strategic weapons down"
"we didn't fund a lot of other things this year, like the savings and loan mess",support,we're going to pay a big price for right after the election
"i think if we act effectively, if we stabilize the housing market",support,i think it depends on what we do
that additional 15 million barrels is going to cause scarcity,support,we cannot look at this as simply a national problem
we've got a lot of work to do,support,this isn't the beginning of the end of this crisis
"they delivered take-home pay, checks that were shrinking",support,they delivered
they're not all republicans,support,i might just say i'm from a large family
we've cut our oil imports to the lowest level in two decades,support,doing everything we can to control our own energy
"not only oil and natural gas, which we've been investing in",support,we've got to make sure we're building the energy source of the future
"yes, we shouldn't trade arms for hostages",attack,"after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the ayatollah in exchange for hostages"
that is to treat people with tolerance and respect and dignity,support,i do know that we have a choice to make in america
this is the end of the beginning,support,this isn't the beginning of the end of this crisis
"a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down",support,"we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by george bush, supported by senator mccain"
we indicated at that time that we were not going to intervene militarily,support,"one of the areas, and of course the most vulnerable area is - i have felt, has been eastern europe"
they have to balance their budgets,support,they have to
"we should give a tax cut, targeted to child rearing and education, to buying a first home and paying for health care",support,what we really should focus on tonight is what we still have to do to help the american people make the most of this future that's out there
we know what the problems are,support,social security is not that tough
"he doesn't tell you is that he intends to, for the first time in history, tax health benefits",support,here's the only problem: your employer now has to pay taxes on the health care that you're getting from your employer
it was part of our other economic plan,support,we also have capital gains now for people that invest in new small businesses and hold the investment for five years
i might just say i'm from a large family,support,"in any event, i understand the problems"
"i've met wives who are supportive of their husbands or vice versa when they finally sort of broke out and allowed themselves to live who they were, who they felt god had made them",support,it's not choice
for the last eight years i've served on the national security council,support,i've worked on that long and hard
"i keep my word, and you will have a tax cut",attack,"we tried this before, promising people an election year tax cut that's not paid for"
he said he wanted to cut the defense budget by eight or nine billion dollars,support,he talks about cutting the defense budget by five to seven billion dollars
i have fought against excessive spending my entire career,support,can be brought under control
i wrote the anti-terrorist report for this government,support,it is the best anti-terrorist report written
she's given money back to the taxpayers,support,she's a reformer
i fight for equality and justice,support,all of those things come out of that fundamental teaching and belief of faith
"as you go further and have to go deeper, you are adding to the cost of production",support,that prices may go up
highest private home ownership ever,support,we have seen the strongest economy in the history of the united states
"coast guard cutters tied up at the dock this summer, not patrolling",support,"they're supposed to be our first line of defense against drugs and the war against drugs, because they don't have enough fuel"
i will not raise taxes,support,i have made a specific proposal for what i call a flexible freeze
"that went out and made all these risky loans, gave them to people that could never afford to pay back",support,"they're the ones that, with the encouragement of senator obama and his cronies and his friends in washington"
they're doing it all over america,support,it's completely out of control
do we spend money on that weapon system in the billions and trillions,attack,mr. bush wants to spend billions and trillions on star wars
"when we look weak, our adversaries are much more willing to test us",support,we should not be imposing these devastating defense cuts
america must be strong,support,we have to strengthen our economy here at home
it's fine to say that sometimes you have to hit base camps,support,"since that action, terrorist action against the united states citizens have gone down"
i don't think they ought to look at us in any way other than what we are,support,and yet project strength in a way that promotes freedom
there is a major problem there,support,we've got to attend to them
what saddam hussein was doing was trying to get rid of sanctions so he could reconstitute a weapons program,support,the duelfer report confirmed that decision today
i think that the special interests have too much power,support,we need to give our democracy back to the american people
these have been priorities of mine since i got to the senate,support,"i've focused on putting resources into solar, wind, biodiesel, geothermal"
"i think that's the big assignment, the big task, the big function of the federal government",support,"i think what we have to do, however, is have the president and the leadership set before our country exactly what we must do in the next decade,"
"6 million people, 500,000 people knocked off disability rolls",attack,"they delivered take-home pay, checks that were shrinking"
the work the mayor did there in increasing the police force,support,in houston there's been a 15- percent drop in the crime rate in the last year
i've had the same test,support,it didn't meet my test
that withdrawal is the result of every counterinsurgency that succeeds,support,"we will succeed and our troops will come home, and not in defeat"
i worked hard to learn the subject of nuclear arms control and how we can diffuse these tensions and deal with non-proliferation and deal with the problems of terrorism and these new weapons of mass destruction,attack,we're gonna face some serious new challenges in the next four years
that's how the free enterprise system works,support,senator mccain during that period said that we should keep on deregulating
"it looks like a bombed-out city - great, gaunt skeletons of buildings",support,you have to see it to believe it
i was in pennsylvania with someone who had just graduated,support,"she said, ""i've got my degree. i can't find a job. i've got three part- time jobs. they're just barely enough to pay for my food and pay for an apartment. i can't begin to pay back my student loans"
we make decisions today in the military that -- that will confront challenges we can't imagine,support,we've got to strengthen our military long-term
we ought to create the finest education system in the world where every 18-year-old can go on to college and all of our younger children have great educational opportunities,support,what we really should focus on tonight is what we still have to do to help the american people make the most of this future that's out there
"massachusetts doesn't have an enormous defense budget, but nevertheless, the governor raised taxes five different times",support,that happens to be a fact
"peter, it's one of the most agonizing decisions a president has to make",support,we want to do everything we can to bring them back
they're closer to being able to get enough fissile material to put in a weapon if they had a weapon,support,of course they are
i think we have made a bad decision,support,we have to know what our values are and who we're fighting for and what our priorities are
i  've supported legislation in the first instance in congress,support,"if we're fortunate enough to be elected, an executive order prohibiting racial profiling"
john mentioned the fact that business taxes on paper are high in this country,support,he's absolutely right
"let the local entity, the city, declare this particular area, based on the standards of the percentage of people on welfare, unemployed, and so forth, in that area",support,"in the inner city areas, that in cooperation with the local government and the national government, and using tax incentives and with cooperating with the private sector, that we have development zones"
i think it also is a strength,support,"i think age is very -- you know, wisdom comes from age, experience and intelligence"
we've got this country going in the right direction,support,"i think the most important thing to emphasize, though, is that we also have to help people in other ways to build a strong economy"
i basically agree with dick cheney and joe lieberman,support,i think that we should find a way to allow some kind of civic unions
pension coverage has been declining as more and more people work for small businesses and fewer people work for big businesses,support,we've got to figure out how are we going to have more people with pension plans
"another thing is to deal with our - uh needs in the central cities, where the unemployment rate is extremely high: sometimes among minority groups, or those who don't speak english, or who're black, or young people, or - 40 percent of the employment",support,there are several things that can be done specifically that are not now being done
they're going faster,support,they are not changing their mind
it's about what the 21st century is going to be like for you,support,my whole administration is about your future
"i've met people who struggled with this for years, people who were in a marriage",support,it's not choice
it's the kind of priority that will be at the top of our list beginning in january of 1989,support,we need a president who will lead on this issue
we have to obviously cut spending,attack,senator obama has $800 billion in new spending programs
we have community-based organizations,support,we did it in a way that we got the private sector to involve itself with the public sector on private industry councils throughout america that serve over the service delivery areas
three times more than the tax cuts under the bush administration,support,he's going to advocate for the largest tax cuts we've ever seen
i think if we get rid of the cronyism and special interest influence in washington so we can act more effectively,support,i think it depends on what we do
we've got to make sure that we have the best education system in the world,support,there are a bunch of things we can do to make sure your future is bright
we can't tolerate it anymore,support,i  've supported legislation in the first instance in congress
is an essential part of the american dream,support,this is one of the most important priorities that faces this country
we have to protect our capacity to push forward what america's all about,support,i think that we also have to have a sense of mission in the world
the issue of torture,support,i've got the scars to prove it
which is a worse decision,attack,he made a mistake in invading iraq
what the president didn't tell you is all his tax cuts expire the year 2000,attack,one of the big differences between senator dole and myself is that i told you how i'm going to pay for every penny of the tax cuts i recommend
much easier for employees to carry it from job to job,support,none of that will happen anymore
we would have to reduce our naval construction program,support,that's the kind of defense program that uh - mr. carter wants
i want to see the mckinney act fully funded,support,i believe that that would help in terms of shelter
"john, 10 days ago, you said that the fundamentals of the economy are sound",support,i just fundamentally disagree
i wouldn't be called a conservative if i were,support,i am not an enemy of conservation
"i will not raise taxes on anyone making $250,000 or less",attack,her tax plan is a disaster
whether it's a single parent who just barely pays the pressing bills,support,"in any event, i understand the problems"
"when we say we're somebody's friend, everybody has got to believe it",support,"it requires a clear vision, a willingness to stand by our friends, and the credibility for people both friend and foe to understand when america says something"
our nation stands alone right now in the world in terms of power,support,we have to be humble
"right now, because of previous agreements, some made by president clinton, the goods and products that we send to colombia, which is our largest agricultural importer of our products, is -- there's a billion dollars that we -- our businesses have paid so far in order to get our goods in there",support,"senator obama, who has never traveled south of our border, opposes the colombia free trade agreement"
that's just a fact,attack,that's not true
that we actually see our businesses pay effectively one of the lowest tax rates in the world,support,"there are people out there who are working every day, who are not getting a tax cut, and you want to give them more"
i was a prosecutor for almost five years in the district attorney's office in queens county and i was a teacher,support,there's not only what is on your paper resume that makes you qualified to run for or to hold office
i made a mistake in the way i talk about it,attack,"then issued one of the most amazing quotes in political history: ""i actually did vote for the $87 billion before i voted against it."""
one out of almost two children in cleveland are now living in poverty,support,"in the last four years, 1.6 million private sector jobs have been lost, 2.7 million manufacturing jobs have been lost"
john kennedy proposed cutting capital gains,support,"when you cut capital gains, you put people to work"
the soviet union knows what they want in detente,support,they've been getting it
we must make this next century the century of the individual,support,our third century should be the century of individual freedom for all our two hundred and fifteen million americans today and all that join us
we would have to close twenty military bases in the united states immediately,support,that's the kind of defense program that uh - mr. carter wants
some of the states that have the toughest anti-gun laws have the highest levels of crime,support,i am not for national registration of firearms
"when they see us putting daylight between ourselves and our allies in israel, that gives them encouragement",support,"when they see this kind of activity, they are encouraged to continue"
"we're going to have to have training programs that work for our workers and schools that finally put the parents and the teachers and the kids first, and the teachers' unions going to have to go behind",support,i'll do it with five simple steps
you just want to add an additional tax cut over the loopholes,support,that's a problem
i'll take responsibility for them,support,i'm fully prepared to accept any mistakes that history judges to my administration
i would like a balanced budget amendment,attack,we cut the taxes and revenues are up by 25 percent in three years
it also allowed us to refocus on alliances and relationships that had been neglected for a decade,support,it is stronger now than when i came into office
this strategy requires additional troops,support,we came up with a great general and a strategy that has succeeded
i started with a $1 million loan,support,i think i did a much better job
"it's a good idea, they saw it, they picked it up and put it in theirs",support,it's only temporary
the member of a labor union must have his rights strengthened and broadened,support,we should never forget that a government big enough to give us everything we want is a government big enough to take from us everything we have
you can look it up,support,that's just a fact
i think we are proving that we can go forward with conservation and benefit from that,attack,i think it is safe to say that we do have sources of energy that have not yet been used or found
"there are several issues in which, frankly, joe biden and i openly and honestly disagreed on national security policy",support,he's been wrong on a number of the major ones
"we've had enough of that, ladies and gentlemen",attack,we've run up more debt in the last eight years than under all the presidents from george washington to jimmy carter combined
"when you do that, you've have homeless families",support,"we didn't have two and a half million, or three million homeless people living on streets and in doorways in this country ten years ago"
can get that deficit down and begin to build a strong fiscal foundation under this country,support,"we've had enough of that, ladies and gentlemen"
"we're not going to do it in that old democratic, liberal way of trying to build more bricks and mortars",attack,it is wrong
not just in detroit,support,all across the country
"you could do what the people want, and that's create enterprise zones",support,if you had a line item veto you could knock out the pork
we're also going to have to look at,support,"i think, that we've got to ask ourselves is, yes, we've got to solve this problem short term"
the issues in this campaign are the war-peace issues,support,what we are talking about are problems that are facing the entire nation
it's well-known that i have not been elected miss congeniality in the united states senate nor with the administration,support,"i have opposed the president on spending, on climate change, on torture of prisoner, on - on guantanamo bay"
"it's only $18 billion."" do you know that it's tripled in the last five years",support,i have fought against it my career
it's time for a chief executive who can make tough choices,support,"we've had enough of that, ladies and gentlemen"
"i do want to just point out that autism, for example, or other special needs will require some additional funding",support,"that's an example of, i think, the kind of use of the scalpel that we want to make sure that we're funding some of those programs"
it was on the ascendancy when we took office,support,iran is more isolated today than when we took office
if we are spending $300 billion on tax cuts for people who don't need them and weren't even asking for them,support,i think we have made a bad decision
i certainly hope not,support,it's all a question of what our priorities are
the technology is there,support,it's doable
"i'll do whatever is necessary, if i'm president, to make sure that it stays that way",support,we have to keep our military strong
"if we spend and spend and spend, that is going to wrap up the housing marke",support,we'll go right back to the days of the misery index and malaise that president reagan and i have overcome
"when she was the head of their energy and natural resources board, she saw corruption, she resigned and said, ""this can't go on.""",support,she's given money back to the taxpayers
"i had a friend a while ago who works in the government, works at the white house, african-american, stopped, surrounded by police for no other cause that anyone can determine than the color of his skin",support,our values are violently contradicted by the kind of racial profiling that i know exists
i fight to clean up the environment and protect this earth,support,all of those things come out of that fundamental teaching and belief of faith
you showed no recognition of the administration program to try to persuade chiang kai-shek for the last five years to withdraw from the islands,support,that's not the position you took
it's going to be so important for us to work with homeowners to make sure that they can stay in their homes,support,"the next president has to make sure that the next treasury secretary is thinking about how to strengthen you as a home buyer, you as a homeowner"
we hadn't put al qaeda to rest,support,"now six years ago, i stood up and opposed this war at a time when it was politically risky to do so"
our country is not strong anymore,support,the ford administration has failed
we have to do better,support,we have a plan
you can make a lot of money and pay lower tax rates than somebody who makes a lot less,support,that's exactly the philosophy that we've seen in place for the last decade
that's a fundamental difference between myself and senator obama,support,"senator obama didn't mention that, along with his tax cuts, he is also proposing some $800 billion in new spending on new programs"
"i haven't started naming names except for one person, and that's mr. richard cheney who i thought did a great job the other night",support,"i've thought about an administration of people who represent all america, but people who understand my compassionate and conservative philosophy"
now they have enough for five,support,they're racing toward a nuclear weapon
"we are going to have to resort to van pooling, to car pooling",support,"i think, yes, we will have to change in a very appreciable way, some of the lifestyles that we now enjoy"
he sees the economy going into freefall,support,let me tell you what the ayatollah sees
i agree with him,support,mr. bush talked about values
"if you want somebody who is willing to fight for you, i am asking for your support and your vote and, yes, your confidence and your willingness to believe that we can do the right thing in america, and be the better for it",support,we've made some progress during the last eight years
we have this mess in iraq,support,i don't think the country can take four more years of this kind of experience
the last president of the united states that tried that was herbert hoover,support,we're not going to follow that path while i'm -- when i'm president of the united states
"of course, he voted for the resolution - it was virtually unanimous",support,"it isn't enough for him to say ""i support the president's position, that i voted for the resolution."""
many of the people who would then be given jobs are presently wards of the government and it wouldn't hurt to give them a tax incentive,support,i think there are things to do in this regard
"how does it look in a program he called or some one of these marvelous boston adjective up there and-about angola-now, we have a chance-several bostonians don't like it, but the rest of the country will understand",support,you're judged by the entire record
sets up a system of testing with respect to our school system,support,it establishes high standards
this administration watered down sanctions,support,they're moving faster toward a nuclear weapon
i also believe that we should offer college scholarships to people who will agree to work them off as police officers,support,we need more police on the street
i can walk into that oval office anytime and give him my judgment and he might agree or he might not,support,we're not far apart on anything
i am eternally optimistic,support,i believe in it
let's look at it as graded by the national taxpayers union and the citizens against government waste and the other watchdog organizations,support,"the fact is, let's look at our records, senator obama"
we want to get rid of tax cuts for companies sending jobs overseas,support,we have a plan
and our eighth graders number one in english and also in math,support,first time one state had been number one in all four measures
"first of all, to channel research and development funds into areas that will provide uh large numbers of jobs",support,there are several things that can be done specifically that are not now being done
the power of example is america's greatest power in the world,support,i see our greatest national strength coming from what we stand for in the world
they will be a market for our goods and products without having to pay -- without us having to pay the billions of dollars -- the billion dollars and more that we've already paid,support,that will help us create jobs in america
"when you don't have any ideas, i guess you say the other person's ideas are old",attack,it's the age of his ideas that i question
my plan would give students a dollar-for-dollar reduction for the cost of a typical community college tuition,support,my whole administration is about your future
"of the nine million people put to work in new jobs since i've been in office, 1.3 million of those has been among black americans, and another million among those who speak spanish",support,we've had such an increase in the number of people employed
"i'm not sure, because of my concept of the vice presidency, that if i didn't, i'd go doing what mr. mondale has done with jimmy carter; jump away from him",attack,not one single democrat has introduced the mondale tax bill into the congress
"you've shown independence -- commendable independence, on some key issues like torture, for example",support,i give you enormous credit for that
the rest of the public's going to be paying for it,support,her tax plan is a disaster
i notice particularly that he didn't endorse the humphrey-hawkins bill which he has on occasions and which is included as a part of the democratic platform,support,i don't believe that uh that mr. carter's been any more specific in this case than he has been on many other instances
a lot of them are mentally sick,support,we've got to attend to them
i've got a history of reaching across the aisle,attack,you have to tell me one time when you have stood up with the leaders of your party on one single major issue
"i know senator kennedy sees them, too",support,"i see mothers holding their babies up, so that they can see a man who might be president of the united states"
how is it that we shredded so many regulations,support,we're also going to have to look at
it is just wrong,support,the first civil rights act legislation we would send to congress would be a national ban on racial profiling
"in the communities which have had real success putting police officers near schools where kids carry weapons, to get the weapons out of the schools, are on the same blocks, you've seen crime go down",support,i know it can work
that's got to be changed,attack,mr. kissinger has been the president of this country
"whoever is president is going to be a man that all the children of america will either look up to, or will look down to",support,i could approach president eisenhower in maintaining the dignity of the office
$150 billion for improving the infrastructure,support,"i'm very proud of the way that came about and i think it's a very, very good beginning"
lobbyists are able to shape how medicare works,support,that was a give away
back after world war ii when we had hundreds of thousands of gis who came back from the war,support,we didn't sit around
china is growing at 7 percent,support,that for them is a catastrophically low number
he sees the currency going into the tank,support,let me tell you what the ayatollah sees
mr. kissinger has been the president of this country,support,an absence of a grasp of what this country is and what it ought to be
our alliances have never been stronger,attack,we have to also stand by our allies
we've made some progress during the last eight years,support,we have seen the strongest economy in the history of the united states
it will probably happen in the year 2012 or 2015,support,we will fix it
"governor romney said that was a tragic mistake, we should have left 30,000 troops there",support,"governor romney, the opposite"
we are facing absolutely massive deficits,attack,"the president has failed to put forth a plan to deal with those deficits and if everything believes that everything is corning up roses, perhaps the vice-president should join me as i travel around the country and speak to people"
it provides tax relief for absolutely everybody who pays taxes,support,whereas under the bush plan everybody who pays taxes will get tax relief
"the armed forces, the conventional forces of the united states have never been more ready",attack,he is the man on conventional forces that wants to eliminate two carrier battle groups
my judgment is that they don't want to give their freedom up to become communists,support,"i believe if we identify ourselves with that force, if we identify ourselves with it as lincoln, as wilson did, as franklin roosevelt did, if we become known as the friend of freedom, sustaining freedom, helping freedom, helping these people in the fight against poverty and ignorance and disease, helping them build their lives, i believe in latin america, africa, and asia, eventually in the eastern europe and the middle east, certainly in western europe, we can strengthen freedom"
"i've been involved these issues for many, many years",support,the people ended up in federal prison so i know how to do this
"i want to make sure people hear that, the fundamental difference with us",support,we have a plan
"sometimes people who are very idealistic and have great dreams, as young people do, are apt to stay at arm's length from the political process",support,they think their good hearts might be brittle
they were already having a tough time,support,i think it's important for us to get loan guarantees to the automakers
it in effect lays out some 29 separate tax credits,support,"the proposal we have from al gore, basically, doesn't do that"
we believe in our future,support,we know we have the ability to shape our future
the duelfer report confirmed that decision today,support,it was the right decision
we're spending too much still,support,it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little. it is that we are continuing to spend too much
our nation now needs to speak with one voice during this time,support,our nation needs to be credible and strong
also broadband lines that reach into rural communities,support,we've got to do structurally to make sure that we can compete in this global economy
if you had a line item veto you could knock out the pork,support,that's the problem with our system
she understands reform,support,she'll be my partner
what i've done throughout this campaign is to propose a net spending cut,support,we're going to have to make some adjustments
"the most stringent of safety requirements, could meet our energy needs for the next couple of decades while we go forward exploring the areas of solar power and other forms of energy that might be renewable and that would not be exhaustible",support,all of these things can be done
i think it's about the lowest since the great depression years,support,we now have such uh - a low utilization of uh - our productive capacity - uh about 73 percent
i'll be happy to make clothing,support,put those jobs in the inner cities instead of doing diplomatic deals and shipping them to china where prison labor does the work
"my campaign chairman, secretary jim baker's wife",support,this isn't government
we've got to reduce the litigation costs that are built into our society,support,there are several things that i think need to be done and are being done
first question is what's in the best interests of the united states,support,"i have, i have"
you don't negotiate with mr. brezhnev from weakness,attack,that's the kind of defense program that uh - mr. carter wants
we need to reach out to moderate arab nations as well to build coalitions to keep the peace,support,i've got a strategy for the middle east
"we still have an achievement gap in education, income differentials, differences in life span",support,"i think that we have to recognize that while we've made enormous progress in the u.s. in racial relations and come a great long way, we still have a very long way to go"
it is to fully fund the mckinney act,support,i want to see the mckinney act fully funded
they resisted any change,support,the democrats in the senate and some -- and some members of congress defended what fannie and freddie were doing
this year congress is doing a little better in controlling the growth of spending,attack,it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little. it is that we are continuing to spend too much
the ban on partial birth abortion,support,i believe reasonable people can come together and put good law in place that will help reduce the number of abortions
he's praised george bush as a good economic steward and dick cheney as somebody who's -- who shows great wisdom and judgment,support,"both at home and abroad, he has proposed wrong and reckless policies"
it's not just about the differential with respect to women,support,i think we have a ways to go
they'll resent us,support,i don't think they'll look at us with envy
i applaud the president for working hard to diffuse tensions,support,our nation now needs to speak with one voice during this time
the ayatollah sees that there are 50 percent fewer exports of oil,support,let me tell you what the ayatollah sees
we're not going to be able to go back to our profligate ways,support,"we're going to have to embrace a culture and an ethic of responsibility, all of us, corporations, the federal government, and individuals out there who may be living beyond their means"
"the position of the united states has been that this build-up, in the words of the president, has been foolish",support,we are in a very difficult position
i think so,support,it's all a question of what our priorities are
you can ship jobs overseas and get tax breaks for it,support,that's exactly the philosophy that we've seen in place for the last decade
we now have such uh - a low utilization of uh - our productive capacity - uh about 73 percent,support,we have a long way to go in getting people to work before we have the inflationary pressures
the problems of trade deficits,support,what we are talking about are problems that are facing the entire nation
"my attitude is, we've got to grow the economy from the bottom up",support,"what i've called for is a tax cut for 95 percent of working families, 95 percent"
"nobody is suggesting that we unilaterally disarm or somehow reduce our strength, of course not",attack,all i'm suggesting is let's not be naã¯ve in dealing with the soviets and make a lot of unilateral cuts hoping against hope that they will match our bid
we are winning in iraq,support,we are winning in iraq
i left my campaign and suspended it to go back to washington,support,i believe that it's rescue
we have presided over the largest increase,support,we've got to have a new direction for this country
"we do have an obligation, but we can't be all things to all people",support,"yes, it does"
i was worried that activist judges are actually defining the definition of marriage,support,i proposed a constitutional amendment
"when somebody gets sentenced, hey, this is for real",support,i have been fighting for very strong anti-crime legislation -- habeas corpus reform
we have to be willing to assert them,support,we stand for those values
i would rather see us reduce the consumption of imported oil than have to send american boys to fight in the persian gulf,support,i did it as a security measure to be sure
"i believe the answer is yes, otherwise i wouldn't be asking for your vote",support,that's what happened in texas
"i've done the same thing in the appointment of women, and also spanish-speaking americans",support,to involve them in the administration of government and the feeling that they belong to the societal structure that makes decisions in the judiciary and in the executive branch is a very important commitment which i am trying to realize and will continue to do so in the future
i didn't care whether he was a republican or democrat,support,what i cared about is could we work together
here's the only problem: your employer now has to pay taxes on the health care that you're getting from your employer,support,"if you end up losing your health care from your employer, you've got to go out on the open market and try to buy it"
they delivered interest rates that were right off the charts,support,they delivered
we need to preserve the system,support,we need to make it stronger
secretary of defense robert gates himself acknowledges the war on terrorism started in afghanistan and it needs to end there,support,we can't do it if we are not willing to give iraq back its country
it's completely out of control,support,it has got to be brought under control
"if we're a humble nation, but strong",support,they'll welcome us
they're the best -- they're most -- have best -- we're the best exporters,support,americans' workers are the best in the world
there is a crime bill which would put more police on the street,support,i think it's a shame it didn't pass
i've fought higher taxes,support,we'll get our economy going again
he voted for the energy bill that was full of goodies for the oil companies that i opposed,support,"the fact is, let's look at our records, senator obama"
"eventually the values of those homes went up, and they actually made money",support,"if we can start increasing home values, then there will be creation of wealth"
it's not just that he has some of the best foreign policy credentials of anybody,support,"joe biden, i think, is one of the finest public servants that has served in this country"
we passed this year the most furthest looking transportation bill in the history of this country since eisenhower started the interstate highways,support,"i'm very proud of the way that came about and i think it's a very, very good beginning"
"i believe if we identify ourselves with that force, if we identify ourselves with it as lincoln, as wilson did, as franklin roosevelt did, if we become known as the friend of freedom, sustaining freedom, helping freedom, helping these people in the fight against poverty and ignorance and disease, helping them build their lives, i believe in latin america, africa, and asia, eventually in the eastern europe and the middle east, certainly in western europe, we can strengthen freedom",support,we can put the communists on the defensive
we need a president who can go in - who derives his strength from the people,support,we ought not to be excluded from our government anymore
recall when vice president bush was running in the primary against president reagan and he called the program voodoo economics,support,it was and it is
"they ought to be engaged in breaking ground in other technologies, doing waste recycling, clean water technology and things of that kind",support,we can create millions of jobs in these new technologies
"that's why he wants to veto it, just like he vetoed an earlier bill this year",attack,if you had a line item veto you could knock out the pork
i'd like you to see the letter that a group of senators and i wrote warning exactly of this crisis,attack,senator obama's name was not on that letter
we didn't touch it,support,your social security is going to be there when you retire
"be they men or women, be they single or married",support,"our plans are for the future, focus very much about giving as much control as we can to individual americans"
it would strip away those tax breaks that have gone to oil companies,support,you're opposed to it
"under the prior administration, with all their problems, the average rate was 10.6 percent",attack,they delivered interest rates that were right off the charts
windows smashed out,support,you have to see it to believe it
", ""did you make a mistake going into iraq?"" and the answer is, ""absolutely not.""",support,"on the big questions, about whether or not we should have gone into afghanistan, the big question about whether we should have removed somebody in iraq, i'll stand by those decisions"
we need campaign finance reform,support,i believe that a lot of people are skeptical about people in politics today
it's an advantage,support,"i think age is very -- you know, wisdom comes from age, experience and intelligence"
in my judgment the best way to get jobs is to uh - expand the private sector,support,those are the kind of specifics that i think we have to discuss on these uh - debates
we were lectured to all the time,support,the fact that we have the strongest economy in history today is not good enough
it was festooned with christmas tree ornaments,support,we had an energy bill before the united states senate
the first time arab and israelis sat down face-to-face and began this process of trying to move the peace process forward,support,we were able to convene them in a conference
